Tipo de documento,Folio,Prefijo,Fecha Emisión,Fecha Recepción,NIT Emisor,Nombre Emisor,NIT Receptor,Nombre Receptor,IVA,ICA,IPC,Total,Estado,Grupo
Factura electrónica,7168,TH,25-02-2022,25-02-2022 20:00:25,900471930,TODAS LAS HERRAMIENTAS SAS,900206780,EQUIORIENTE LTDA,6386.55,0,0,40000,Aprobado,Recibido
Factura electrónica,4319,TW2E,23-02-2022,23-02-2022 21:04:41,901487881,DISTRIBUCIONES  PAPELERIAS GRANEROS ORIENTALES Y TWIST S.A.S ,900206780,ALQUILERES Y EQUIPOS DEL ORIENTE LIMITADA,4422.69,0,0,27700,Aprobado,Recibido
Factura electrónica,5636,EG,09-02-2022,09-02-2022 17:09:22,901170759,GRUPO MAROEL & CIA S.A.S,900206780,ALQUILERES Y EQUIPOS DEL ORIENTE LIMITADA,9740,0,0,61001,Aprobado,Recibido
Factura electrónica,8910,FAFP,04-02-2022,05-02-2022 16:58:13,900206797,INMOBILIARIA E INGENIERIA AJC LIMITADA,900206780,EQUIORIENTE LTDA,16796,0,0,105196,Aprobado con notificación,Recibido
Factura electrónica,8857,FAFP,04-02-2022,05-02-2022 16:52:06,900206797,INMOBILIARIA E INGENIERIA AJC LIMITADA,900206780,EQUIORIENTE LTDA,13803,0,0,86453,Aprobado con notificación,Recibido
Factura electrónica,8855,FAFP,04-02-2022,05-02-2022 16:51:55,900206797,INMOBILIARIA E INGENIERIA AJC LIMITADA,900206780,EQUIORIENTE LTDA,17152,0,0,107429,Aprobado con notificación,Recibido
Factura electrónica,249145521,EC,30-01-2022,31-01-2022 23:00:53,830122566,COLOMBIA TELECOMUNICACIONES S.A. E.S.P. BIC,900206780,ALQUILERES Y EQUIPOS DEL ORIEN TE LIMITADA,24271.93,0,0,152680,Aprobado,Recibido
Factura electrónica,2546426,POL,19-01-2022,18-01-2022 15:37:04,860002180,SEGUROS COMERCIALES BOLIVAR SA,900206780,ALQUILERES Y EQUIPOS DEL ORIENTE LIMITADA,0,0,0,684300,Aprobado con notificación,Recibido
Factura electrónica,8327,FAFP,12-01-2022,15-01-2022 16:56:36,900206797,INMOBILIARIA E INGENIERIA AJC LIMITADA,900206780,EQUIORIENTE LTDA,13025,0,0,81577,Aprobado con notificación,Recibido
Factura electrónica,8271,FAFP,12-01-2022,15-01-2022 16:51:49,900206797,INMOBILIARIA E INGENIERIA AJC LIMITADA,900206780,EQUIORIENTE LTDA,10331,0,0,64707,Aprobado con notificación,Recibido
Factura electrónica,8269,FAFP,12-01-2022,15-01-2022 16:51:40,900206797,INMOBILIARIA E INGENIERIA AJC LIMITADA,900206780,EQUIORIENTE LTDA,13679,0,0,85676,Aprobado con notificación,Recibido
Factura electrónica de contingencia,1164935822,BICT,04-01-2022,07-01-2022 10:23:28,830114921,COLOMBIA MOVIL S.A.ESP,900206780,ALQUILERES Y EQUIPOS DEL ORIENTE LIMITADA,7073,0,0,45000,Aprobado con notificación,Recibido
Factura electrónica,270984,RE01,03-01-2022,03-01-2022 12:11:30,890200110,CAMARA DE COMERCIO DE BUCARAMANGA,900206780,ALQUILERES Y EQUIPOS DEL ORIENTE LIMITADA,0,0,0,6500,Aprobado,Recibido
Factura electrónica,16658165,EV,03-01-2022,03-01-2022 13:21:14,830122566,COLOMBIA TELECOMUNICACIONES S.A. E.S.P. BIC,900206780,ALQUILERES Y EQUIPOS DEL ORIEN TE LIMITADA,957.98,0,0,6000,Aprobado,Recibido
,,,,,,,,,293998.83999999997,,,,,
,,,,,,,,,4309933.28,,,,,
