,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,MES,VENTAS FISCALES 2025,VENTAS FISCALES 2024,VENTAS FISCALES 2023,VENTAS FISCALES 2022,VENTAS FISCALES 2021,VENTAS FISCALES 2020,VENTAS SIN IVA 2025,VENTAS SIN IVA 2024,VENTAS SIN IVA 2023,VENTAS SIN IVA 2022,VENTAS SIN IVA 2021,VENTAS SIN IVA 2020,GASTOS 2025,GASTOS 2024,GASTOS 2023,GASTOS 2022,GASTOS 2021,GASTOS 2020,UTILIDAD 2025,UTILIDAD 2024,UTILIDAD 2023,UTILIDAD 2022,UTILIDAD 2021,UTILIDAD 2020
,NOVIEMBRE,16781585,12084858.1,13205069,13793441,9460840,15548745,,,,,,,,,,,,,,,,,,
,DICIEMBRE,13073986,14343828,19716602,14685347,10271878,12796951,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,TOTAL ,168534968,149313325.92,170684094,127151557.44,147824433.63333333,144259568,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,MES,UTILIDAD 2025,UTILIDAD 2024,UTILIDAD 2023,UTILIDAD 2022,UTILIDAD 2021,UTILIDAD 2020,,,,,,,,,,,,,,,,,,
,ENERO ,-6507825,-2557551,-5273606,-1150802.4400000004,352800,3245117,,,,,,,,,,,,,,,,,,
,FEBRERO ,-4441975,-4416049,-4384642,569556,-2094164,3129086,,,,,,,,,,,,,,,,,,
,MARZO,250408,1058174.1799999997,6335281,4047103,-1395325,6248249,,,,,,,,,,,,,,,,,,
,ABRIL ,-5744224,3726717,7020895,2584980,-3490481,-8194868,,,,,,,,,,,,,,,,,,
,MAYO,2252945,-877419,-1211535,891255,767352.3666666672,-9105820,,,,,,,,,,,,,,,,,,
,JUNIO,-958020,-2507233,4502965,-2193718,4495738,7982004,,,,,,,,,,,,,,,,,,
,JULIO,1357928,-4849520,110279,-1077718,-2527014,2646214,,,,,,,,,,,,,,,,,,
,AGOSTO,6707957,3643220,5253701,14262195,299710,197274,,,,,,,,,,,,,,,,,,
,SEPTIEMBRE,-2783769,472368,9178135,2471319,2707680,3359239,,,,,,,,,,,,,,,,,,
,OCTUBRE,-2016829,2023717,-5922538,1920529,6059683,2559631.829999998,,,,,,,,,,,,,,,,,,
,NOVIEMBRE,-5571376,1111784.9000000004,538076,8536,7472128,-1605167,,,,,,,,,,,,,,,,,,
,DICIEMBRE,10922909,91736,-2377914,-1237785,1238971,4004674,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,TOTAL ,-6531871,-3080054.92,13769097,21095449.56,13887078.366666667,14465633.829999998,,,,,,,,,,,,,,,,,,
